Iteration,x,y,Utility
4,8,4,0.13828251680000014
4,9,4,2.0689586988800004
4,0,5,0.6489389091200002
4,1,5,1.44779807264
4,2,5,0.4812429200000002
4,3,5,0.0
4,4,5,-0.15761596
4,5,5,-0.15761596
4,6,5,0.33573335360000006
4,7,5,0.18812187296000027
4,8,5,1.99837581728
4,9,5,3.2948578892800007
4,0,6,1.46527992032
4,1,6,2.11945205152
4,2,6,0.47838911264000017
4,3,6,0.0
4,4,6,0.24114754976
4,5,6,0.0
4,6,6,1.0759865129600001
4,7,6,2.10210969632
4,8,6,1.2859819548800002
4,9,6,2.1842750076800006
4,0,7,1.2390751529600001
4,1,7,2.10822552032
4,2,7,1.06115476064
4,3,7,1.2387582896
4,4,7,1.0770906464000003
4,5,7,3.3326725074400003
4,6,7,0.0
4,7,7,3.3045773449600007
4,8,7,0.0
4,9,7,1.2051527158400002
4,0,8,2.11763448032
4,1,8,3.3045773449600007
4,2,8,0.0
4,3,8,2.3398396160000003
4,4,8,1.2305410361600002
4,5,8,1.1246685257600002
4,6,8,0.0
4,7,8,2.1911059126400003
4,8,8,1.3516626732800001
4,9,8,1.2879986624000002
4,0,9,1.29476992352
4,1,9,2.1911059126400003
4,2,9,0.0
4,3,9,3.60336838168
4,4,9,1.2744591689600004
4,5,9,3.329473461040001
4,6,9,0.0
4,7,9,0.30204546560000023
4,8,9,2.3533791094400005
4,9,9,3.6052313557600004
5,0,0,0.1787999181843202
5,1,0,0.0
5,2,0,4.900995010000001
5,3,0,2.135124558368001
5,4,0,0.0
5,5,0,4.444221965559761
5,6,0,2.10654940980032
5,7,0,2.067094312442241
5,8,0,3.1720220740572804
5,9,0,4.444221965559761
5,0,1,0.9900859560569604
5,1,1,0.0
5,2,1,0.0
5,3,1,-0.2490232794399998
5,4,1,0.0
5,5,1,3.1720220740572804
5,6,1,2.066892796659201
5,7,1,0.0
5,8,1,2.066892796659201
5,9,1,2.10654940980032
5,0,2,1.9988414827712004
5,1,2,4.427449920413201
5,2,2,0.0
5,3,2,-1.9620508787718403
5,4,2,-0.23089043921824004
5,5,2,1.8454239089628806
5,6,2,0.0
5,7,2,2.067094312442241
5,8,2,3.1720220740572804
5,9,2,4.444221965559761
5,0,3,1.9786427924115202
5,1,3,3.0405068898137606
5,2,3,1.8875160309574401
5,3,3,0.0
5,4,3,-0.1960398004
5,5,3,0.0
5,6,3,0.0
5,7,3,0.0
5,8,3,0.0
5,9,3,0.0
5,0,4,0.0
5,1,4,0.0
5,2,4,0.8832729908652802
5,3,4,0.21315873032384006
5,4,4,-0.1960398004
5,5,4,-1.26151246465696
5,6,4,0.0
5,7,4,0.0889173002796802
5,8,4,0.8501444645868803
5,9,4,2.788044328662081
5,0,5,1.3280786580876802
5,1,5,1.75049402588672
5,2,5,1.18956243198272
5,3,5,0.0
5,4,5,0.11978089932992003
5,5,5,0.08922019171424003
5,6,5,0.81520140364736
5,7,5,0.89594768740256
5,8,5,2.710529631006081
5,9,5,4.030597585259201
5,0,6,1.8255194169497602
5,1,6,2.86213784635648
5,2,6,0.8313033951872002
5,3,6,0.0
5,4,6,0.8608030068012803
5,5,6,0.0
5,6,6,1.7646311462748803
5,7,6,2.811060135524481
5,8,6,2.0150972255264006
5,9,6,2.913082887603201
5,0,7,1.9844231377567998
5,1,7,2.804948018654721
5,2,7,1.7821294555481602
5,3,7,2.0248392711689607
5,4,7,1.7851737958985603
5,5,7,4.08075338817928
5,6,7,0.0
5,7,7,4.042253602495361
5,8,7,0.0
5,9,7,1.9285660438188807
5,0,8,2.828075919779841
5,1,8,4.04285906907136
5,2,8,0.0
5,3,8,3.1673354428544003
5,4,8,2.04595640759264
5,5,8,1.8726423725225603
5,6,8,0.0
5,7,8,2.9279593472144008
5,8,8,2.16830760760544
5,9,8,2.1166697059942408
5,0,9,2.0331839187910403
5,1,9,2.922326964988161
5,2,9,0.0
5,3,9,4.4422453500608805
5,4,9,2.1018627785974404
5,5,9,4.092732311513681
5,6,9,0.0
5,7,9,1.1106982411222401
5,8,9,3.1821423702512006
5,9,9,4.445245669816721
6,0,0,0.779550460997608
6,1,0,0.0
6,2,0,5.851985059900001
6,3,0,3.068312074533873
6,4,0,0.0
6,5,0,5.2738319566454175
6,6,0,2.932994575162823
6,7,0,2.8815261565169297
6,8,0,3.998476368924262
6,9,0,5.2738319566454175
6,0,1,1.7391194736540692
6,1,1,0.0
6,2,1,0.0
6,3,1,0.641712040898337
6,4,1,0.0
6,5,1,3.998476368924262
6,6,1,2.885412261092859
6,7,1,0.0
6,8,1,2.885412261092859
6,9,1,2.932994575162823
6,0,2,2.8004444830656348
6,1,2,5.245868061179724
6,2,2,0.0
6,3,2,-1.4017615695238184
6,4,2,0.41930964217639555
6,5,2,2.632080296158086
6,6,2,0.0
6,7,2,2.8815261565169297
6,8,2,3.998476368924262
6,9,2,5.2738319566454175
6,0,3,2.761852399975588
6,1,3,3.849290060480782
6,2,3,2.642389569892948
6,3,3,0.0
6,4,3,-0.234079402396
6,5,3,0.0
6,6,3,0.0
6,7,3,0.0
6,8,3,0.0
6,9,3,0.0
6,0,4,0.0
6,1,4,0.0
6,2,4,1.5634594369160153
6,3,4,0.7017576373694223
6,4,4,0.12127208321054342
6,5,4,-1.073635282402961
6,6,4,0.0
6,7,4,0.7625576831446171
6,8,4,1.5606378437640713
6,9,4,3.5124139780569346
6,0,5,1.7105900739376756
6,1,5,2.4760596422313017
6,2,5,1.5161343307214779
6,3,5,0.0
6,4,5,0.6624470893999859
6,5,5,0.48958257666738
6,6,5,1.4551194878822686
6,7,5,1.5754069997660798
6,8,5,3.4358922148465023
6,9,5,4.75664488193555
6,0,6,2.5547508521029356
6,1,6,3.484544289176098
6,2,6,1.5610106711798895
6,3,6,0.0
6,4,6,1.5442966416983133
6,5,6,0.0
6,6,6,2.4417630497776903
6,7,6,3.5356579619846524
6,8,6,2.7349987057784513
6,9,6,3.6401231187251177
6,0,7,2.673983872950375
6,1,7,3.5348330894417086
6,2,7,2.4402486829973395
6,3,7,2.8216926926339108
6,4,7,2.519725865462988
6,5,7,4.821342863747473
6,6,7,0.0
6,7,7,4.7696277819674755
6,8,7,0.0
6,9,7,2.6490177236578734
6,0,8,3.559687481302754
6,1,8,4.768944606085164
6,2,8,0.0
6,3,8,3.9943742104424746
6,4,8,2.8533462916157886
6,5,8,2.6293852699502405
6,6,8,0.0
6,7,8,3.6659952817034904
6,8,8,2.9796750335066067
6,9,8,2.944847324541212
6,0,9,2.755747680289141
6,1,9,3.652539960198659
6,2,9,0.0
6,3,9,5.27160681574683
6,4,9,2.9288924166810353
6,5,9,4.854708904639836
6,6,9,0.0
6,7,9,1.9200838584842783
6,8,9,4.010329118302651
6,9,9,5.275745986461567
7,0,0,1.4917336144115494
7,1,0,0.0
7,2,0,6.793465209301002
7,3,0,4.00206455486859
7,4,0,0.0
7,5,0,6.094833433894569
7,6,0,3.752897186452482
7,7,0,3.6973354631783675
7,8,0,4.818379884034865
7,9,0,6.094833433894569
7,0,1,2.5222976863714885
7,1,1,0.0
7,2,1,0.0
7,3,1,1.5571621471286985
7,4,1,0.0
7,5,1,4.818379884034865
7,6,1,3.702815560977328
7,7,1,0.0
7,8,1,3.702815560977328
7,9,1,3.752897186452482
7,0,2,3.6003237199436775
7,1,2,6.055148158498732
7,2,2,0.0
7,3,2,-0.5890268044159119
7,4,2,1.102945388295463
7,5,2,3.428880888083129
7,6,2,0.0
7,7,2,3.6973354631783675
7,8,2,4.818379884034865
7,9,2,6.094833433894569
7,0,3,3.5593051193218606
7,1,3,4.649747459471326
7,2,3,3.4250167795748667
7,3,3,0.0
7,4,3,0.24574551492929728
7,5,3,0.0
7,6,3,0.0
7,7,3,0.0
7,8,3,0.0
7,9,3,0.0
7,0,4,0.0
7,1,4,0.0
7,2,4,2.2770290297094733
7,3,4,1.3372078862366297
7,4,4,0.558200449809977
7,5,4,-0.7065345559994843
7,6,4,0.0
7,7,4,1.4377187009786956
7,8,4,2.276488346423539
7,9,4,4.229494876853234
7,0,5,2.3978409967662535
7,1,5,3.0392047930887256
7,2,5,2.2303617773486857
7,3,5,0.0
7,4,5,1.2971338771657335
7,5,5,1.0546334165349343
7,6,5,2.0983103034908432
7,7,5,2.2844512644619934
7,8,5,4.152530764897666
7,9,5,5.475363919074378
7,0,6,3.153831897769386
7,1,6,4.207048197642833
7,2,6,2.1514409953856326
7,3,6,0.0
7,4,6,2.261393620502953
7,5,6,0.0
7,6,6,3.146032477120181
7,7,6,4.250044617118299
7,8,6,3.453895711172164
7,9,6,4.3583998071188095
7,0,7,3.3939453644685975
7,1,7,4.243313151058274
7,2,7,3.155712482901379
7,3,7,3.6145818549680127
7,4,7,3.2538701984860943
7,5,7,5.556125633324072
7,6,7,0.0
7,7,7,5.490508874443367
7,8,7,0.0
7,9,7,3.3674830193145526
7,0,8,4.274547551790162
7,1,8,5.488554059933845
7,2,8,0.0
7,3,8,4.813036927775258
7,4,8,3.6629575846026987
7,5,8,3.387719877069787
7,6,8,0.0
7,7,8,4.395466564524041
7,8,8,3.790654079713925
7,9,8,3.764918534724295
7,0,9,3.4780397294749354
7,1,9,4.371424604427742
7,2,9,0.0
7,3,9,6.092444719664231
7,4,9,3.7475542301928755
7,5,9,5.615505983285517
7,6,9,0.0
7,7,9,2.729202496574289
7,8,9,4.830401232306678
7,9,9,6.09771225664922
8,0,0,2.253023023259706
8,1,0,0.0
8,2,0,7.725530557207991
8,3,0,4.930787889264124
8,4,0,0.0
8,5,0,6.907516198119513
8,6,0,4.565223641640049
8,7,0,4.508229289864929
8,8,0,5.630706428700705
8,9,0,6.907516198119513
8,0,1,3.3108713280969475
8,1,1,0.0
8,2,1,0.0
8,3,1,2.477953232587405
8,4,1,0.0
8,5,1,5.630706428700705
8,6,1,4.514272430151165
8,7,1,0.0
8,8,1,4.514272430151165
8,9,1,4.56522364164005
8,0,2,4.397756019294638
8,1,2,6.855462007710032
8,2,2,0.0
8,3,2,0.28415036033000485
8,4,2,1.8491940627810899
8,5,2,4.224807669517094
8,6,2,0.0
8,7,2,4.508229289864929
8,8,2,5.630706428700705
8,9,2,6.907516198119512
8,0,3,4.351403242988579
8,1,3,5.447125209521773
8,2,3,4.20710252302044
8,3,3,0.0
8,4,3,0.8821903594860075
8,5,3,0.0
8,6,3,0.0
8,7,3,0.0
8,8,3,0.0
8,9,3,0.0
8,0,4,0.0
8,1,4,0.0
8,2,4,3.030422744101959
8,3,4,2.0281741530047555
8,4,4,1.1718137057168185
8,5,4,-0.17941541061709332
8,6,4,0.0
8,7,4,2.13699189914672
8,8,4,2.9862328344885607
8,9,4,4.9405805630113075
8,0,5,2.996102396228997
8,1,5,3.7501742471705026
8,2,5,2.805468728610686
8,3,5,0.0
8,4,5,1.9838487095147048
8,5,5,1.6563235475577573
8,6,5,2.7822271052978795
8,7,5,2.9848686025281554
8,8,5,4.863796245608882
8,9,5,6.18668979762014
